epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3281.7,0.65922,0.66987,1.24565,0.98032,1,0.98778,0.69613,1.04265,0.6393,1.80306,0.00135509,0.00135509,0.00135509
60,3310.79,0.71776,0.70122,1.25601,0.98025,1,0.98778,0.75045,0.89575,0.6109,1.5613,0.00133558,0.00133558,0.00133558
61,3337.19,0.73398,0.59621,1.31032,0.98017,1,0.98741,0.82835,0.66029,0.55964,1.26474,0.00131593,0.00131593,0.00131593
62,3365.42,0.76831,0.69877,1.30537,0.98017,1,0.98741,0.82835,0.66029,0.55964,1.26474,0.00129614,0.00129614,0.00129614
63,3392.65,0.75116,0.65283,1.27216,0.98035,1,0.9863,0.84627,0.58626,0.55086,1.17256,0.00127623,0.00127623,0.00127623
64,3422.07,0.68576,0.63464,1.19508,0.98034,1,0.98907,0.85566,0.61719,0.56378,1.2113,0.0012562,0.0012562,0.0012562
65,3449.55,0.71508,0.61942,1.27704,0.98026,1,0.98148,0.80907,0.6656,0.55805,1.27144,0.00123607,0.00123607,0.00123607
66,3478.14,0.7583,0.70205,1.27805,0.97977,1,0.98778,0.84182,0.65025,0.58585,1.236,0.00121583,0.00121583,0.00121583
67,3506.4,0.6774,0.6251,1.24713,0.97481,1,0.98889,0.8396,0.64935,0.61091,1.24801,0.00119551,0.00119551,0.00119551
68,3533.72,0.70124,0.65616,1.24261,0.97776,1,0.98778,0.86507,0.5883,0.58492,1.19322,0.0011751,0.0011751,0.0011751
69,3560.27,0.65683,0.61977,1.21237,0.97813,1,0.98574,0.87016,0.5515,0.5506,1.14683,0.00115462,0.00115462,0.00115462
70,3587.24,0.68026,0.65905,1.25934,0.97813,1,0.98574,0.87016,0.5515,0.5506,1.14683,0.00113408,0.00113408,0.00113408
71,3614.05,0.71477,0.63046,1.23602,0.98005,1,0.98352,0.87567,0.54676,0.52937,1.12646,0.00111348,0.00111348,0.00111348
72,3641.59,0.68357,0.54294,1.21805,0.98031,1,0.99204,0.87534,0.54344,0.49261,1.12171,0.00109284,0.00109284,0.00109284
73,3669.24,0.72588,0.58374,1.27347,0.98038,1,0.99333,0.86648,0.54135,0.46302,1.12258,0.00107216,0.00107216,0.00107216
74,3696.32,0.61658,0.54746,1.1938,0.98042,1,0.99222,0.85447,0.56298,0.48672,1.14287,0.00105146,0.00105146,0.00105146
75,3723.02,0.66,0.54913,1.213,0.9804,1,0.98704,0.83551,0.61497,0.48938,1.19386,0.00103073,0.00103073,0.00103073
76,3749.76,0.65068,0.56878,1.23133,0.98034,1,0.98463,0.82537,0.63281,0.516,1.20718,0.00101,0.00101,0.00101
77,3777.04,0.69312,0.60931,1.26195,0.98043,1,0.98463,0.82954,0.65421,0.52823,1.22565,0.000989267,0.000989267,0.000989267
78,3806.36,0.67966,0.5909,1.14069,0.98043,1,0.98463,0.82954,0.65421,0.52823,1.22565,0.000968543,0.000968543,0.000968543
79,3837.57,0.64296,0.52883,1.20327,0.98046,1,0.98667,0.85691,0.59358,0.53041,1.17777,0.000947837,0.000947837,0.000947837
80,3875.8,0.72532,0.59415,1.23602,0.9804,1,0.98815,0.87724,0.54406,0.54105,1.12401,0.000927159,0.000927159,0.000927159
81,3904.64,0.67074,0.51663,1.23278,0.96525,1,0.98537,0.86877,0.53252,0.55723,1.10831,0.000906517,0.000906517,0.000906517
82,3930.44,0.69756,0.58472,1.25095,0.97968,1,0.98537,0.86854,0.51335,0.51649,1.09988,0.00088592,0.00088592,0.00088592
83,3956.78,0.67648,0.54233,1.20503,0.97996,1,0.98741,0.8732,0.51997,0.45788,1.11166,0.000865378,0.000865378,0.000865378
84,3982.71,0.67985,0.563,1.18913,0.97961,1,0.98352,0.84462,0.62132,0.45964,1.18095,0.000844899,0.000844899,0.000844899
85,4008.69,0.64045,0.55402,1.17721,0.97942,1,0.98111,0.82818,0.66346,0.4579,1.21448,0.000824492,0.000824492,0.000824492
